what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298906865525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298906909295
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1298906909347
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1298906912104
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1298906914976
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1298906915499
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298906916031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298906916278
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298906949637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298906955498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298906991396
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298907019656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907022518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907025206
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298907049243
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907052696
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907080215
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298907095722
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298907099997
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907108970
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907129827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298907147374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298907166010
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907181701
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907208018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907210436
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907210908
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907229674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907234378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298907237328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907240738
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298907240856
