what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488259328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488279159
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488300974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488311552
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298488318623
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1298488318827
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1298488319000
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1298488319038
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1298488319049
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1298488319239
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1298488319248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298488321734
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488322933
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488329061
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488330925
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488332531
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298488384957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488403815
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488449350
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488459577
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488466760
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298488488304
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1298488490182
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1298488490675
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488492766
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488501286
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488503606
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298488533706
